Unnamed: 0,FAKP_F2X_chipD_grid_fly_001_window_9_5000,FAKP_F2X_chipD_grid_fly_001_window_6.2_7500,FAKP_F2X_chipD_grid_fly_001_window_4_2500,FAKP_F2X_chipD_grid_fly_001_window_9_2500,FAKP_F2X_chipD_grid_fly_001_window_6.1_5000,FAKP_F2X_chipD_grid_fly_001_window_2_2500,FAKP_F2X_chipD_grid_fly_001_window_5_2500,FAKP_F2X_chipD_grid_fly_001_window_9_15000,FAKP_F2X_chipD_grid_fly_001_window_5_5000,FAKP_F2X_chipD_grid_fly_001_window_4_7500,FAKP_F2X_chipD_grid_fly_001_window_1_5000,FAKP_F2X_chipD_grid_fly_001_window_5_7500,FAKP_F2X_chipD_grid_fly_001_window_6.2_2500,FAKP_F2X_chipD_grid_fly_001_window_1_2500,FAKP_F2X_chipD_grid_fly_001_window_2_15000,FAKP_F2X_chipD_grid_fly_001_window_2_10000,FAKP_F2X_chipD_grid_fly_001_window_9_7500,FAKP_F2X_chipD_grid_fly_001_window_6.2_10000,FAKP_F2X_chipD_grid_fly_001_window_5_15000,FAKP_F2X_chipD_grid_fly_001_window_6.1_7500,FAKP_F2X_chipD_grid_fly_001_window_9_10000,FAKP_F2X_chipD_grid_fly_001_window_6.1_15000,FAKP_F2X_chipD_grid_fly_001_window_1_10000,FAKP_F2X_chipD_grid_fly_001_window_5_10000,FAKP_F2X_chipD_grid_fly_001_window_1_15000,FAKP_F2X_chipD_grid_fly_001_window_2_5000,FAKP_F2X_chipD_grid_fly_001_window_4_5000,FAKP_F2X_chipD_grid_fly_001_window_6.1_10000,FAKP_F2X_chipD_grid_fly_001_window_4_15000,FAKP_F2X_chipD_grid_fly_001_window_1_7500,FAKP_F2X_chipD_grid_fly_001_window_4_10000,FAKP_F2X_chipD_grid_fly_001_window_6.2_5000,FAKP_F2X_chipD_grid_fly_001_window_6.2_15000,FAKP_F2X_chipD_grid_fly_001_window_6.1_2500,FAKP_F2X_chipD_grid_fly_001_window_2_7500
window,9,6.2,4,9,6.1,2,5,9,5,4,1,5,6.2,1,2,2,9,6.2,5,6.1,9,6.1,1,5,1,2,4,6.1,4,1,4,6.2,6.2,6.1,2
Num. patterns/Num. hits,31892/21589,31892/21362,31892/21695,31892/21589,31892/21362,31892/17247,31892/20657,31892/21589,31892/20656,31892/21695,31892/12513,31892/20655,31892/21362,31892/12513,31892/17247,31892/17247,31892/21589,31892/21362,31892/20655,31892/21362,31892/21589,31892/21362,31892/12513,31892/20655,31892/12513,31892/17247,31892/21695,31892/21362,31892/21695,31892/12513,31892/21695,31892/21362,31892/21362,31892/21362,31892/17247
Indexed patterns/Indexed crystals,17375/23332,9862/12453,18446/24622,17376/23351,10100/12986,16555/22533,16967/23004,17373/23338,16972/23002,18451/24633,12162/16119,16976/23013,9871/12458,12161/16107,16557/22526,16556/22518,17372/23337,9866/12455,16976/23011,10091/12977,17372/23331,10102/12993,12162/16117,16976/23011,12162/16114,16556/22507,18445/24621,10103/12993,18456/24620,12162/16116,18453/24622,9865/12454,9864/12458,10117/13021,16556/22520
CC* intersects with Rsplit at,-1000,1.518,-1000,-1000,-1000,1.537,-1000,-1000,-1000,-1000,-1000,-1000,1.522,-1000,1.542,1.542,-1000,1.521,-1000,-1000,-1000,-1000,-1000,-1000,1.482,1.541,-1000,-1000,-1000,-1000,-1000,1.521,1.517,-1000,1.539
Resolution,90.80 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),90.80 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),90.80 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5),90.80 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),90.80 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),90.98 - 1.50 (1.53 - 1.5),91.55 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),91.51 - 1.50 (1.53 - 1.5),91.01 - 1.50 (1.53 - 1.5),91.74 - 1.50 (1.53 - 1.5)
Rsplit (%),10.43 (58.16),19.08 (92.01),14.36 (59.09),10.31 (58.88),14.68 (78.69),16.70 (98.71),10.81 (61.5),10.36 (62.0),10.89 (63.43),15.07 (60.56),13.99 (77.67),11.09 (64.32),18.21 (88.49),13.78 (76.31),17.26 (103.65),17.03 (101.9),10.47 (61.14),19.17 (87.28),11.33 (64.65),15.09 (77.03),10.50 (61.49),15.33 (74.67),14.11 (78.0),11.10 (64.95),14.45 (83.43),16.87 (104.98),14.70 (59.69),15.15 (79.23),15.33 (59.45),14.32 (78.97),15.05 (60.6),18.59 (90.2),19.28 (91.52),14.76 (79.29),17.25 (103.57)
CC1/2,0.9882355 (0.649),0.9572890 (0.417),0.9740018 (0.65),0.9889990 (0.652),0.9774070 (0.491),0.9686567 (0.427),0.9878548 (0.605),0.9878353 (0.625),0.9874619 (0.609),0.9711966 (0.642),0.9784067 (0.549),0.9863544 (0.503),0.9647834 (0.486),0.9789706 (0.576),0.9622057 (0.38),0.9653400 (0.418),0.9879736 (0.618),0.9563948 (0.49),0.9852518 (0.456),0.9741601 (0.468),0.9878583 (0.629),0.9722885 (0.52),0.9775163 (0.551),0.9863876 (0.433),0.9746719 (0.519),0.9672116 (0.395),0.9729454 (0.647),0.9737583 (0.489),0.9681352 (0.655),0.9756620 (0.528),0.9708056 (0.637),0.9612339 (0.433),0.9555938 (0.445),0.9774272 (0.505),0.9642613 (0.408)
CC*,0.9970371 (0.887),0.9890291 (0.767),0.9933930 (0.887),0.9972307 (0.888),0.9942708 (0.812),0.9920075 (0.773),0.9969405 (0.868),0.9969355 (0.877),0.9968407 (0.87),0.9926670 (0.884),0.9945278 (0.842),0.9965592 (0.818),0.9909975 (0.809),0.9946726 (0.855),0.9903226 (0.742),0.9911430 (0.768),0.9969706 (0.874),0.9887929 (0.811),0.9962786 (0.791),0.9934339 (0.799),0.9969414 (0.879),0.9929499 (0.827),0.9942989 (0.843),0.9965677 (0.777),0.9935661 (0.827),0.9916313 (0.753),0.9931199 (0.886),0.9933301 (0.81),0.9918718 (0.89),0.9938215 (0.832),0.9925656 (0.882),0.9900676 (0.778),0.9885812 (0.785),0.9942760 (0.819),0.9908610 (0.761)
CCano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
