,FAKP_F2X_chipD_grid_fly_001_window_4_5000,FAKP_F2X_chipD_grid_fly_001_window_2_2500,FAKP_F2X_chipD_grid_fly_001_window_9_15000,FAKP_F2X_chipD_grid_fly_001_window_9_5000,FAKP_F2X_chipD_grid_fly_001_window_6.2_5000,FAKP_F2X_chipD_grid_fly_001_window_9_7500,FAKP_F2X_chipD_grid_fly_001_window_6.1_10000,FAKP_F2X_chipD_grid_fly_001_window_1_10000,FAKP_F2X_chipD_grid_fly_001_window_4_15000,FAKP_F2X_chipD_grid_fly_001_window_6.1_15000,FAKP_F2X_chipD_grid_fly_001_window_4_10000,FAKP_F2X_chipD_grid_fly_001_window_2_15000,FAKP_F2X_chipD_grid_fly_001_window_5_5000,FAKP_F2X_chipD_grid_fly_001_window_9_2500,FAKP_F2X_chipD_grid_fly_001_window_6.1_7500,FAKP_F2X_chipD_grid_fly_001_window_4_2500,FAKP_F2X_chipD_grid_fly_001_window_1_15000,FAKP_F2X_chipD_grid_fly_001_window_2_10000,FAKP_F2X_chipD_grid_fly_001_window_6.1_5000,FAKP_F2X_chipD_grid_fly_001_window_2_7500,FAKP_F2X_chipD_grid_fly_001_window_5_10000,FAKP_F2X_chipD_grid_fly_001_window_1_7500,FAKP_F2X_chipD_grid_fly_001_window_1_5000,FAKP_F2X_chipD_grid_fly_001_window_5_2500,FAKP_F2X_chipD_grid_fly_001_window_6.2_15000,FAKP_F2X_chipD_grid_fly_001_window_9_10000,FAKP_F2X_chipD_grid_fly_001_window_2_5000,FAKP_F2X_chipD_grid_fly_001_window_6.2_7500,FAKP_F2X_chipD_grid_fly_001_window_1_2500,FAKP_F2X_chipD_grid_fly_001_window_6.2_2500,FAKP_F2X_chipD_grid_fly_001_window_5_15000,FAKP_F2X_chipD_grid_fly_001_window_5_7500,FAKP_F2X_chipD_grid_fly_001_window_6.1_2500,FAKP_F2X_chipD_grid_fly_001_window_6.2_10000,FAKP_F2X_chipD_grid_fly_001_window_4_7500
Num. patterns/hits,31892/21695,31892/17247,31892/21589,31892/21589,31892/21362,31892/21589,31892/21362,31892/12513,31892/21695,31892/21362,31892/21695,31892/17247,31892/20656,31892/21589,31892/21362,31892/21695,31892/12513,31892/17247,31892/21362,31892/17247,31892/20655,31892/12513,31892/12513,31892/20657,31892/21362,31892/21589,31892/17247,31892/21362,31892/12513,31892/21362,31892/20655,31892/20655,31892/21362,31892/21362,31892/21695
Indexed patterns/crystals,18445/24621,16555/22533,17373/23338,17375/23332,9865/12454,17372/23337,10103/12993,12162/16117,18456/24620,10102/12993,18453/24622,16557/22526,16972/23002,17376/23351,10091/12977,18446/24622,12162/16114,16556/22518,10100/12986,16556/22520,16976/23011,12162/16116,12162/16119,16967/23004,9864/12458,17372/23331,16556/22507,9862/12453,12161/16107,9871/12458,16976/23011,16976/23013,10117/13021,9866/12455,18451/24633
CC* intersects with Rsplit at,-1000,1.537,-1000,-1000,1.521,-1000,-1000,-1000,-1000,-1000,-1000,1.542,-1000,-1000,-1000,-1000,1.482,1.542,-1000,1.539,-1000,-1000,-1000,-1000,1.517,-1000,1.541,1.518,-1000,1.522,-1000,-1000,-1000,1.521,-1000
Resolution,91.55 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5),91.51 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.55 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),91.55 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),91.55 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.51 - 1.50 (1.55 - 1.5),90.80 - 1.50 (1.55 - 1.5),91.74 - 1.50 (1.55 - 1.5),91.51 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.51 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),90.98 - 1.50 (1.55 - 1.5),91.01 - 1.50 (1.55 - 1.5),91.51 - 1.50 (1.55 - 1.5),91.55 - 1.50 (1.55 - 1.5)
Rsplit (%),14.7 (59.05),16.7 (96.71),10.36 (57.03),10.43 (55.02),18.59 (89.59),10.47 (57.11),15.15 (76.56),14.11 (74.45),15.33 (57.47),15.33 (74.42),15.05 (58.93),17.26 (101.75),10.89 (60.3),10.31 (56.07),15.09 (76.11),14.36 (57.56),14.45 (77.63),17.03 (100.59),14.68 (77.3),17.25 (100.93),11.1 (60.52),14.32 (75.26),13.99 (74.55),10.81 (58.29),19.28 (89.21),10.5 (57.15),16.87 (100.37),19.08 (90.31),13.78 (73.72),18.21 (89.2),11.33 (59.34),11.09 (60.74),14.76 (77.15),19.17 (88.01),15.07 (58.15)
CC1/2,0.9729 (0.658),0.9687 (0.462),0.9878 (0.667),0.9882 (0.681),0.9612 (0.462),0.988 (0.657),0.9738 (0.536),0.9775 (0.57),0.9681 (0.675),0.9723 (0.544),0.9708 (0.662),0.9622 (0.425),0.9875 (0.527),0.989 (0.681),0.9742 (0.516),0.974 (0.674),0.9747 (0.537),0.9653 (0.447),0.9774 (0.53),0.9643 (0.441),0.9864 (0.468),0.9757 (0.55),0.9784 (0.565),0.9879 (0.645),0.9556 (0.473),0.9879 (0.663),0.9672 (0.433),0.9573 (0.456),0.979 (0.566),0.9648 (0.489),0.9853 (0.546),0.9864 (0.408),0.9774 (0.538),0.9564 (0.497),0.9712 (0.666)
CC*,0.9931 (0.891),0.992 (0.795),0.9969 (0.895),0.997 (0.9),0.9901 (0.795),0.997 (0.891),0.9933 (0.835),0.9943 (0.852),0.9919 (0.898),0.9929 (0.839),0.9926 (0.892),0.9903 (0.772),0.9968 (0.831),0.9972 (0.9),0.9934 (0.825),0.9934 (0.897),0.9936 (0.836),0.9911 (0.786),0.9943 (0.832),0.9909 (0.782),0.9966 (0.799),0.9938 (0.842),0.9945 (0.85),0.9969 (0.886),0.9886 (0.801),0.9969 (0.893),0.9916 (0.777),0.989 (0.791),0.9947 (0.85),0.991 (0.81),0.9963 (0.84),0.9966 (0.761),0.9943 (0.837),0.9888 (0.815),0.9927 (0.894)
CCano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNR,5.9441 (2.0),4.6738 (1.24),7.5112 (2.06),7.5324 (2.08),4.5898 (1.37),7.5161 (2.07),5.4589 (1.52),5.5578 (1.58),5.938 (1.97),5.4692 (1.54),5.9443 (1.99),4.6462 (1.17),7.362 (2.02),7.5584 (2.08),5.4727 (1.53),5.9722 (2.01),5.5505 (1.58),4.6481 (1.18),5.4909 (1.54),4.6382 (1.19),7.3415 (2.05),5.5571 (1.58),5.5644 (1.6),7.4098 (2.06),4.5936 (1.36),7.5133 (2.07),4.6571 (1.2),4.6021 (1.38),5.5816 (1.58),4.6009 (1.36),7.3354 (2.06),7.3462 (2.04),5.5185 (1.53),4.6023 (1.36),5.948 (1.99)
Completeness (%),100.0021 (100.0),99.9651 (99.73),100.0022 (100.0),100.0022 (100.0),100.0 (100.0),100.0022 (100.0),100.0 (99.98),99.9957 (99.98),100.0021 (100.0),99.9957 (99.93),100.0021 (100.0),99.9425 (99.52),100.0021 (100.0),100.0022 (100.0),100.0 (99.98),100.0021 (100.0),99.9914 (99.96),99.9528 (99.56),100.0021 (100.0),99.9507 (99.6),100.0021 (100.0),99.9979 (99.96),99.9957 (99.93),100.0021 (100.0),100.0021 (100.0),100.0022 (100.0),99.9487 (99.56),100.0 (100.0),99.9957 (99.96),100.0 (99.98),100.0021 (100.0),100.0021 (100.0),100.0021 (100.0),100.0 (100.0),100.0021 (100.0)
