Unnamed: 0,FAKP_F2X_chipD_grid_fly_001_window_9_no-flag,FAKP_F2X_chipD_grid_fly_001_window_2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.2_no-flag,FAKP_F2X_chipD_grid_fly_001_window_5_no-flag,FAKP_F2X_chipD_grid_fly_001_window_4_no-flag,FAKP_F2X_chipD_grid_fly_001_window_6.1_no-flag,FAKP_F2X_chipD_grid_fly_001_window_1_no-flag
window,9,2,6.2,5,4,6.1,1
Num. patterns/Num. hits,31892/22014,31892/17954,31892/21980,31892/21235,31892/22476,31892/21980,31892/13162
Indexed patterns/Indexed crystals,17489/23579,16781/22851,9963/12583,17104/23211,18560/24736,10148/13052,12337/16357
CC* intersects with Rsplit at,-1000,1.51,1.482,-1000,-1000,-1000,-1000
Resolution,45.40 - 1.50 (1.53 - 1.5),45.87 - 1.50 (1.53 - 1.5),45.76 - 1.50 (1.53 - 1.5),45.49 - 1.50 (1.53 - 1.5),45.77 - 1.50 (1.53 - 1.5),45.51 - 1.50 (1.53 - 1.5),45.49 - 1.50 (1.53 - 1.5)
Rsplit (%),10.07 (49.05),16.95 (97.74),18.90 (82.54),10.97 (58.92),15.19 (50.97),14.52 (65.47),13.20 (67.39)
CC1/2,0.9837695 (0.75),0.9500534 (0.444),0.9382986 (0.493),0.9783802 (0.22),0.9544349 (0.739),0.9681143 (0.626),0.9742736 (0.63)
CC*,0.9959008 (0.926),0.9871105 (0.784),0.9839549 (0.812),0.9945210 (0.6),0.9882744 (0.922),0.9918663 (0.877),0.9934632 (0.879)
CCano,,,,,,,
SNR,8.898285 (2.07),5.247211 (1.08),5.270916 (1.28),8.698502 (2.09),6.697840 (1.88),6.352450 (1.54),6.510863 (1.6)
Completeness (%),100.002154 (100.0),99.971250 (99.75),99.997924 (100.0),100.002139 (100.0),100.002071 (100.0),100.000000 (99.96),100.000000 (100.0)
Multiplicity,169.748530 (64.6),74.848609 (23.3),58.960093 (25.5),179.388696 (64.3),98.103123 (44.9),87.139925 (30.2),97.944127 (33.2)
Total Measurements,7879557,3643780,2839636,8385704,4736615,4075970,4564784
Unique Reflections,46419 (2239),48682 (2372),48162 (2348),46746 (2277),48282 (2357),46775 (2287),46606 (2267)
Wilson B-factor,17.36,21.97,18.29,17.41,19.1,17.48,18.77
flag,no-flag,no-flag,no-flag,no-flag,no-flag,no-flag,no-flag
