;FAKP_F2X_chipD_grid_fly_001_window_5_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_5_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_6_1_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_6_1_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_4_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_5_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_2_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_6_2_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_9_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_6_2_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_4_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_2_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_6_1_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_4_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_5_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_9_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_9_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_2_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_1_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_1_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_9_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_1_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_6_2_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_4_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_6_2_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_1_flag_2500;FAKP_F2X_chipD_grid_fly_001_window_2_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_9_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_1_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_6_1_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_6_2_flag_5000;FAKP_F2X_chipD_grid_fly_001_window_4_flag_7500;FAKP_F2X_chipD_grid_fly_001_window_6_1_flag_15000;FAKP_F2X_chipD_grid_fly_001_window_5_flag_10000;FAKP_F2X_chipD_grid_fly_001_window_2_flag_7500
Num. patterns/Num. hits;28762/18678;31892/20655;30905/20650;31892/21362;30402/20551;31892/20657;31892/17247;31892/21362;31892/21589;28720/19170;30840/21014;31892/17247;31177/20843;31892/21695;31892/20656;31892/21589;28061/19323;31892/17247;31892/12513;31892/12513;29857/20245;31892/12513;28349/18909;31892/21695;30095/20190;31892/12513;31892/17247;31874/21571;31892/12513;31892/21362;26931/18005;31892/21695;31892/21362;31892/20655;31892/17247
Indexed patterns/Indexed crystals;15294/20770;16964/22982;9948/12805;10119/13035;17445/23171;16959/22981;16558/22521;9870/12455;17394/23376;9812/12399;17829/23786;16557/22505;9998/12866;18449/24604;16966/22984;17391/23397;15312/20572;16557/22518;12163/16106;12163/16105;16126/21685;12163/16110;9799/12386;18449/24606;9327/11805;12160/16105;16557/22517;17374/23347;12163/16105;10117/13005;9269/11745;18453/24610;10116/13019;16966/22989;16557/22507
CC* intersects with Rsplit at;-1000;-1000;-1000;-1000;-1000;-1000;1.526;1.52;-1000;1.516;-1000;1.533;-1000;-1000;-1000;-1000;-1000;1.541;-1000;-1000;-1000;-1000;1.522;-1000;1.524;-1000;1.539;-1000;1.482;-1000;1.527;-1000;-1000;-1000;1.541
Resolution;90.98 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.01 - 1.50 (1.53 - 1.5);91.01 - 1.50 (1.53 - 1.5);91.55 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.74 - 1.50 (1.53 - 1.5);91.51 - 1.50 (1.53 - 1.5);90.80 - 1.50 (1.53 - 1.5);91.51 - 1.50 (1.53 - 1.5);91.55 - 1.50 (1.53 - 1.5);91.74 - 1.50 (1.53 - 1.5);91.01 - 1.50 (1.53 - 1.5);91.55 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);90.80 - 1.50 (1.53 - 1.5);90.80 - 1.50 (1.53 - 1.5);91.74 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);90.80 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.51 - 1.50 (1.53 - 1.5);91.55 - 1.50 (1.53 - 1.5);91.51 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.74 - 1.50 (1.53 - 1.5);90.80 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.01 - 1.50 (1.53 - 1.5);91.51 - 1.50 (1.53 - 1.5);91.55 - 1.50 (1.53 - 1.5);91.01 - 1.50 (1.53 - 1.5);90.98 - 1.50 (1.53 - 1.5);91.74 - 1.50 (1.53 - 1.5)
Rsplit (%);11.74 (67.68);11.37 (61.45);15.42 (76.86);14.45 (75.49);15.13 (60.2);10.65 (62.33);16.81 (91.98);18.41 (92.59);10.68 (61.03);19.16 (89.16);14.62 (60.73);17.17 (106.68);15.11 (76.87);15.00 (58.5);10.84 (61.69);10.23 (60.51);11.02 (62.53);17.45 (108.84);14.45 (79.12);14.10 (80.09);10.97 (63.16);14.44 (81.42);19.14 (91.91);15.29 (61.47);19.52 (92.98);13.80 (77.98);17.37 (101.06);10.42 (62.04);14.22 (83.6);14.92 (79.76);18.98 (90.77);14.93 (58.17);15.35 (76.59);11.11 (63.3);16.80 (104.3)
CC1/2;0.9849313 (0.455);0.9841515 (0.52);0.9726049 (0.57);0.9777281 (0.447);0.9717532 (0.645);0.9886195 (0.587);0.9673307 (0.467);0.9626619 (0.463);0.9870780 (0.619);0.9562427 (0.479);0.9735746 (0.647);0.9651886 (0.383);0.9745429 (0.573);0.9703305 (0.668);0.9880021 (0.615);0.9890596 (0.647);0.9869243 (0.593);0.9620411 (0.38);0.9750649 (0.539);0.9780326 (0.545);0.9874105 (0.617);0.9737285 (0.534);0.9580811 (0.465);0.9684477 (0.64);0.9557222 (0.485);0.9783043 (0.563);0.9630768 (0.406);0.9887770 (0.616);0.9754428 (0.519);0.9748590 (0.544);0.9602286 (0.468);0.9718405 (0.647);0.9703354 (0.534);0.9859148 (0.449);0.9664167 (0.408)
CC*;0.9961970 (0.791);0.9959982 (0.827);0.9930318 (0.852);0.9943534 (0.786);0.9928113 (0.886);0.9971345 (0.86);0.9916623 (0.798);0.9904422 (0.795);0.9967432 (0.874);0.9887527 (0.805);0.9932826 (0.886);0.9911034 (0.744);0.9935327 (0.854);0.9924424 (0.895);0.9969778 (0.873);0.9972461 (0.886);0.9967041 (0.863);0.9902794 (0.742);0.9936675 (0.837);0.9944316 (0.84);0.9968276 (0.874);0.9933224 (0.834);0.9892380 (0.797);0.9919531 (0.883);0.9886151 (0.808);0.9945015 (0.849);0.9905509 (0.76);0.9971744 (0.873);0.9937649 (0.827);0.9936143 (0.839);0.9898034 (0.799);0.9928339 (0.886);0.9924437 (0.834);0.9964474 (0.787);0.9914240 (0.761)
CCano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNR;6.993605 (1.87);7.338894 (1.98);5.430145 (1.2);5.514068 (1.49);5.767564 (1.87);7.392203 (1.97);4.675125 (1.22);4.598370 (1.31);7.506715 (1.93);4.596120 (1.32);5.881659 (1.91);4.659643 (1.21);5.465262 (1.47);5.940481 (1.92);7.367682 (1.97);7.558850 (1.93);7.141004 (1.86);4.650328 (1.16);5.558514 (1.5);5.562361 (1.5);7.227901 (1.86);5.560060 (1.48);4.581590 (1.32);5.923497 (1.89);4.505230 (1.31);5.588044 (1.49);4.646967 (1.15);7.511962 (1.93);5.553178 (1.5);5.494754 (1.49);4.479262 (1.29);5.950521 (1.96);5.472381 (1.48);7.352333 (1.96);4.651783 (1.25)
Completeness (%);100.002139 (100.0);100.002139 (100.0);99.997862 (99.91);99.997862 (99.91);100.002071 (100.0);100.000000 (99.96);99.971252 (99.58);100.000000 (100.0);100.002154 (100.0);99.995848 (99.96);100.002071 (100.0);99.946611 (99.41);100.002138 (100.0);100.002071 (100.0);100.002139 (100.0);100.002154 (100.0);100.002154 (100.0);99.944557 (99.33);99.993563 (99.96);100.000000 (100.0);100.002154 (100.0);99.991418 (99.91);99.997924 (99.96);100.002071 (100.0);100.000000 (99.96);99.995709 (99.96);99.956878 (99.58);100.002154 (100.0);99.989272 (99.91);100.000000 (99.96);99.997924 (99.96);100.002071 (100.0);100.000000 (99.96);100.002139 (100.0);99.948664 (99.33)
